Year,Replicate,Rotation,Nitrogen,Tillage,Species,Biomass_kg_ha
2011,1,ROT7,NIT2,TIL1,Soybean,3720
2012,1,ROT7,NIT2,TIL1,Wheat,0
2013,1,ROT7,NIT2,TIL1,Corn,23851
2014,1,ROT7,NIT2,TIL1,Soybean,3928
2015,1,ROT7,NIT2,TIL1,Wheat,0
2011,1,ROT6,NIT2,TIL1,Corn,19184
2012,1,ROT6,NIT2,TIL1,Soybean,2907
2013,1,ROT6,NIT2,TIL1,Wheat,0
2014,1,ROT6,NIT2,TIL1,Corn,19014
2015,1,ROT6,NIT2,TIL1,Soybean,2836
2011,1,ROT8,NIT2,TIL1,Wheat,0
2012,1,ROT8,NIT2,TIL1,Corn,13512
2013,1,ROT8,NIT2,TIL1,Soybean,3421
2014,1,ROT8,NIT2,TIL1,Wheat,0
2015,1,ROT8,NIT2,TIL1,Corn,16759
2011,1,ROT5,NIT2,TIL1,Soybean,2884
2012,1,ROT5,NIT2,TIL1,Corn,12148
2013,1,ROT5,NIT2,TIL1,Soybean,3072
2014,1,ROT5,NIT2,TIL1,Corn,17761
2015,1,ROT5,NIT2,TIL1,Soybean,3232
2011,1,ROT1,NIT2,TIL1,Corn,16372
2012,1,ROT1,NIT2,TIL1,Corn,13205
2013,1,ROT1,NIT2,TIL1,Corn,22671
2014,1,ROT1,NIT2,TIL1,Corn,13730
2015,1,ROT1,NIT2,TIL1,Corn,13034
2011,1,ROT4,NIT2,TIL1,Corn,15809
2012,1,ROT4,NIT2,TIL1,Soybean,2729
2013,1,ROT4,NIT2,TIL1,Corn,18896
2014,1,ROT4,NIT2,TIL1,Soybean,3203
2015,1,ROT4,NIT2,TIL1,Corn,15782
2011,2,ROT5,NIT2,TIL1,Soybean,3296
2012,2,ROT5,NIT2,TIL1,Corn,17002
2013,2,ROT5,NIT2,TIL1,Soybean,3826
2014,2,ROT5,NIT2,TIL1,Corn,21830
2015,2,ROT5,NIT2,TIL1,Soybean,3472
2011,2,ROT1,NIT2,TIL1,Corn,21267
2012,2,ROT1,NIT2,TIL1,Corn,13728
2013,2,ROT1,NIT2,TIL1,Corn,26434
2014,2,ROT1,NIT2,TIL1,Corn,14599
2015,2,ROT1,NIT2,TIL1,Corn,17360
2011,2,ROT7,NIT2,TIL1,Soybean,3579
2012,2,ROT7,NIT2,TIL1,Wheat,0
2013,2,ROT7,NIT2,TIL1,Corn,26710
2014,2,ROT7,NIT2,TIL1,Soybean,4676
2015,2,ROT7,NIT2,TIL1,Wheat,0
2011,2,ROT8,NIT2,TIL1,Wheat,0
2012,2,ROT8,NIT2,TIL1,Corn,18548
2013,2,ROT8,NIT2,TIL1,Soybean,4199
2014,2,ROT8,NIT2,TIL1,Wheat,0
2015,2,ROT8,NIT2,TIL1,Corn,20130
2011,2,ROT4,NIT2,TIL1,Corn,24397
2012,2,ROT4,NIT2,TIL1,Soybean,3375
2013,2,ROT4,NIT2,TIL1,Corn,26504
2014,2,ROT4,NIT2,TIL1,Soybean,3276
2015,2,ROT4,NIT2,TIL1,Corn,18597
2011,2,ROT6,NIT2,TIL1,Corn,22295
2012,2,ROT6,NIT2,TIL1,Soybean,3391
2013,2,ROT6,NIT2,TIL1,Wheat,0
2014,2,ROT6,NIT2,TIL1,Corn,19259
2015,2,ROT6,NIT2,TIL1,Soybean,3488
2011,3,ROT8,NIT2,TIL1,Wheat,0
2012,3,ROT8,NIT2,TIL1,Corn,18023
2013,3,ROT8,NIT2,TIL1,Soybean,3574
2014,3,ROT8,NIT2,TIL1,Wheat,0
2015,3,ROT8,NIT2,TIL1,Corn,20116
2011,3,ROT7,NIT2,TIL1,Soybean,3693
2012,3,ROT7,NIT2,TIL1,Wheat,0
2013,3,ROT7,NIT2,TIL1,Corn,23531
2014,3,ROT7,NIT2,TIL1,Soybean,3811
2015,3,ROT7,NIT2,TIL1,Wheat,0
2011,3,ROT6,NIT2,TIL1,Corn,18305
2012,3,ROT6,NIT2,TIL1,Soybean,3336
2013,3,ROT6,NIT2,TIL1,Wheat,0
2014,3,ROT6,NIT2,TIL1,Corn,19707
2015,3,ROT6,NIT2,TIL1,Soybean,2692
2011,3,ROT4,NIT2,TIL1,Corn,13908
2012,3,ROT4,NIT2,TIL1,Soybean,2831
2013,3,ROT4,NIT2,TIL1,Corn,16332
2014,3,ROT4,NIT2,TIL1,Soybean,3367
2015,3,ROT4,NIT2,TIL1,Corn,13870
2011,3,ROT5,NIT2,TIL1,Soybean,2957
2012,3,ROT5,NIT2,TIL1,Corn,14647
2013,3,ROT5,NIT2,TIL1,Soybean,3284
2014,3,ROT5,NIT2,TIL1,Corn,20659
2015,3,ROT5,NIT2,TIL1,Soybean,3495
2011,3,ROT1,NIT2,TIL1,Corn,20791
2012,3,ROT1,NIT2,TIL1,Corn,15903
2013,3,ROT1,NIT2,TIL1,Corn,22749
2014,3,ROT1,NIT2,TIL1,Corn,22297
2015,3,ROT1,NIT2,TIL1,Corn,17398
2012,1,ROT1,NIT2,TIL1,Corn,5994
2013,1,ROT1,NIT2,TIL1,Corn,11953
2014,1,ROT1,NIT2,TIL1,Corn,16952
2015,1,ROT1,NIT2,TIL1,Corn,6494
2012,1,ROT1,NIT2,TIL1,Corn,5547
2013,1,ROT1,NIT2,TIL1,Corn,11889
2014,1,ROT1,NIT2,TIL1,Corn,14632
2015,1,ROT1,NIT2,TIL1,Corn,6717
2012,1,ROT1,NIT2,TIL1,Corn,4293
2013,1,ROT1,NIT2,TIL1,Corn,11742
2014,1,ROT1,NIT2,TIL1,Corn,16909
2015,1,ROT1,NIT2,TIL1,Corn,6303
2012,1,ROT1,NIT3,TIL1,Corn,5467
2013,1,ROT1,NIT3,TIL1,Corn,7645
2014,1,ROT1,NIT3,TIL1,Corn,18311
2015,1,ROT1,NIT3,TIL1,Corn,4579
2012,1,ROT1,NIT3,TIL1,Corn,7706
2013,1,ROT1,NIT3,TIL1,Corn,9562
2014,1,ROT1,NIT3,TIL1,Corn,17126
2015,1,ROT1,NIT3,TIL1,Corn,8436
2012,2,ROT1,NIT2,TIL1,Corn,6105
2013,2,ROT1,NIT2,TIL1,Corn,12669
2014,2,ROT1,NIT2,TIL1,Corn,16286
2015,2,ROT1,NIT2,TIL1,Corn,4397
2012,2,ROT1,NIT2,TIL1,Corn,7378
2013,2,ROT1,NIT2,TIL1,Corn,13362
2014,2,ROT1,NIT2,TIL1,Corn,14679
2015,2,ROT1,NIT2,TIL1,Corn,8369
2012,2,ROT1,NIT3,TIL1,Corn,5827
2013,2,ROT1,NIT3,TIL1,Corn,6735
2014,2,ROT1,NIT3,TIL1,Corn,15541
2015,2,ROT1,NIT3,TIL1,Corn,9672
2012,2,ROT1,NIT3,TIL1,Corn,9033
2013,2,ROT1,NIT3,TIL1,Corn,6622
2014,2,ROT1,NIT3,TIL1,Corn,17105
2015,2,ROT1,NIT3,TIL1,Corn,12878
2012,2,ROT1,NIT2,TIL1,Corn,6317
2013,2,ROT1,NIT2,TIL1,Corn,10892
2014,2,ROT1,NIT2,TIL1,Corn,15835
2015,2,ROT1,NIT2,TIL1,Corn,6598
2012,3,ROT1,NIT3,TIL1,Corn,6210
2013,3,ROT1,NIT3,TIL1,Corn,6701
2014,3,ROT1,NIT3,TIL1,Corn,14418
2015,3,ROT1,NIT3,TIL1,Corn,7454
2012,3,ROT1,NIT3,TIL1,Corn,9774
2013,3,ROT1,NIT3,TIL1,Corn,7655
2014,3,ROT1,NIT3,TIL1,Corn,15804
2015,3,ROT1,NIT3,TIL1,Corn,6811
2012,3,ROT1,NIT2,TIL1,Corn,5663
2013,3,ROT1,NIT2,TIL1,Corn,11217
2014,3,ROT1,NIT2,TIL1,Corn,15530
2015,3,ROT1,NIT2,TIL1,Corn,7016
2012,3,ROT1,NIT2,TIL1,Corn,8345
2013,3,ROT1,NIT2,TIL1,Corn,11789
2014,3,ROT1,NIT2,TIL1,Corn,14217
2015,3,ROT1,NIT2,TIL1,Corn,6154
2012,3,ROT1,NIT2,TIL1,Corn,8485
2013,3,ROT1,NIT2,TIL1,Corn,11738
2014,3,ROT1,NIT2,TIL1,Corn,16533
2015,3,ROT1,NIT2,TIL1,Corn,6870
2012,4,ROT1,NIT3,TIL1,Corn,6042
2013,4,ROT1,NIT3,TIL1,Corn,8047
2014,4,ROT1,NIT3,TIL1,Corn,17573
2015,4,ROT1,NIT3,TIL1,Corn,9558
2012,4,ROT1,NIT2,TIL1,Corn,5236
