Year,Replicate,Rotation,Nitrogen,Tillage,Species,Biomass_kg_ha
2011,1,ROT7,NIT2,TIL1,Soybean,0
2012,1,ROT7,NIT2,TIL1,Wheat,0
2013,1,ROT7,NIT2,TIL1,Corn,0
2014,1,ROT7,NIT2,TIL1,Soybean,0
2015,1,ROT7,NIT2,TIL1,Wheat,0
2011,1,ROT6,NIT2,TIL1,Corn,0
2012,1,ROT6,NIT2,TIL1,Soybean,0
2013,1,ROT6,NIT2,TIL1,Wheat,0
2014,1,ROT6,NIT2,TIL1,Corn,0
2015,1,ROT6,NIT2,TIL1,Soybean,0
2011,1,ROT8,NIT2,TIL1,Wheat,0
2012,1,ROT8,NIT2,TIL1,Corn,0
2013,1,ROT8,NIT2,TIL1,Soybean,0
2014,1,ROT8,NIT2,TIL1,Wheat,0
2015,1,ROT8,NIT2,TIL1,Corn,0
2011,1,ROT5,NIT2,TIL1,Soybean,0
2012,1,ROT5,NIT2,TIL1,Corn,0
2013,1,ROT5,NIT2,TIL1,Soybean,0
2014,1,ROT5,NIT2,TIL1,Corn,0
2015,1,ROT5,NIT2,TIL1,Soybean,0
2011,1,ROT1,NIT2,TIL1,Corn,0
2012,1,ROT1,NIT2,TIL1,Corn,0
2013,1,ROT1,NIT2,TIL1,Corn,0
2014,1,ROT1,NIT2,TIL1,Corn,0
2015,1,ROT1,NIT2,TIL1,Corn,0
2011,1,ROT4,NIT2,TIL1,Corn,0
2012,1,ROT4,NIT2,TIL1,Soybean,0
2013,1,ROT4,NIT2,TIL1,Corn,0
2014,1,ROT4,NIT2,TIL1,Soybean,0
2015,1,ROT4,NIT2,TIL1,Corn,0
2011,2,ROT5,NIT2,TIL1,Soybean,0
2012,2,ROT5,NIT2,TIL1,Corn,0
2013,2,ROT5,NIT2,TIL1,Soybean,0
2014,2,ROT5,NIT2,TIL1,Corn,0
2015,2,ROT5,NIT2,TIL1,Soybean,0
2011,2,ROT1,NIT2,TIL1,Corn,0
2012,2,ROT1,NIT2,TIL1,Corn,0
2013,2,ROT1,NIT2,TIL1,Corn,0
2014,2,ROT1,NIT2,TIL1,Corn,0
2015,2,ROT1,NIT2,TIL1,Corn,0
2011,2,ROT7,NIT2,TIL1,Soybean,0
2012,2,ROT7,NIT2,TIL1,Wheat,0
2013,2,ROT7,NIT2,TIL1,Corn,0
2014,2,ROT7,NIT2,TIL1,Soybean,0
2015,2,ROT7,NIT2,TIL1,Wheat,0
2011,2,ROT8,NIT2,TIL1,Wheat,0
2012,2,ROT8,NIT2,TIL1,Corn,0
2013,2,ROT8,NIT2,TIL1,Soybean,0
2014,2,ROT8,NIT2,TIL1,Wheat,0
2015,2,ROT8,NIT2,TIL1,Corn,0
2011,2,ROT4,NIT2,TIL1,Corn,0
2012,2,ROT4,NIT2,TIL1,Soybean,0
2013,2,ROT4,NIT2,TIL1,Corn,0
2014,2,ROT4,NIT2,TIL1,Soybean,0
2015,2,ROT4,NIT2,TIL1,Corn,0
2011,2,ROT6,NIT2,TIL1,Corn,0
2012,2,ROT6,NIT2,TIL1,Soybean,0
2013,2,ROT6,NIT2,TIL1,Wheat,0
2014,2,ROT6,NIT2,TIL1,Corn,0
2015,2,ROT6,NIT2,TIL1,Soybean,0
2011,3,ROT8,NIT2,TIL1,Wheat,0
2012,3,ROT8,NIT2,TIL1,Corn,0
2013,3,ROT8,NIT2,TIL1,Soybean,0
2014,3,ROT8,NIT2,TIL1,Wheat,0
