uniqueid,,plotid,year,corn_yield,soybean_yield,wheat_yield,rc_biomass,rc_nitrogen,oat_yield,N_fertilizer,N_manure,corn_N_export,soy_seed_N,seed_BNF,soy_stover,stover_N,stover_BNF,soy_root,root_N,root_BNF,soy_BNF,soy_N_export,wheat_N_export,clover_N,clover_BNF,N_import,N_export,N_balance
ARL,,101,2011,0,4276,0,0,0,0,0,0,0,274.5192,159.221136,4317.085228,60.43919319,48.35135455,1460.824489,13.1474204,11.83267836,219.4051689,274.5192,0,0,0,219.4051689,274.5192,-55.11403109
ARL,,101,2012,0,0,5846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.4742,0,0,0,103.4742,-103.4742
ARL,,101,2013,13735,4515,0,0,0,0,224.22,0,201.9045,289.863,168.12054,4558.381619,63.81734267,51.05387414,1542.474875,13.88227388,12.49404649,231.6684606,289.863,0,0,0,455.8884606,491.7675,-35.87903937
ARL,,101,2014,0,4515,0,0,0,0,0,0,0,289.863,168.12054,4558.381619,63.81734267,51.05387414,1542.474875,13.88227388,12.49404649,231.6684606,289.863,0,0,0,231.6684606,289.863,-58.19453937
ARL,,101,2015,0,0,2839,0,0,0,224.11,0,0,0,0,0,0,0,0,0,0,0,0,50.2503,0,0,224.11,50.2503,173.8597
ARL,,104,2011,12427,0,0,0,0,0,179.34,0,182.6769,0,0,0,0,0,0,0,0,0,0,0,0,0,179.34,182.6769,-3.3369
ARL,,104,2012,0,3342,0,0,0,0,0,0,0,214.5564,124.442712,3374.111046,47.23755464,37.79004371,1141.738878,10.2756499,9.24808491,171.4808406,214.5564,0,0,0,171.4808406,214.5564,-43.07555938
ARL,,104,2013,0,0,3044,0,0,0,133.95,0,0,0,0,0,0,0,0,0,0,0,0,53.8788,0,0,133.95,53.8788,80.0712
ARL,,104,2014,12827,0,0,0,0,0,223.92,0,188.5569,0,0,0,0,0,0,0,0,0,0,0,0,0,223.92,188.5569,35.3631
ARL,,104,2015,0,3260,0,0,0,0,0,0,0,209.292,121.38936,3291.323163,46.07852428,36.86281942,1113.724938,10.02352444,9.021171995,167.2733514,209.292,0,0,0,167.2733514,209.292,-42.01864858
ARL,,105,2011,0,0,6119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.3063,0,0,0,108.3063,-108.3063
ARL,,105,2012,10462,0,0,0,0,0,219.52,0,153.7914,0,0,0,0,0,0,0,0,0,0,0,0,0,219.52,153.7914,65.7286
ARL,,105,2013,0,3932,0,0,0,0,0,0,0,252.4344,146.411952,3969.779962,55.57691947,44.46153557,1343.302594,12.08972334,10.88075101,201.7542386,252.4344,0,0,0,201.7542386,252.4344,-50.68016142
ARL,,105,2014,0,0,1943,0,0,0,133.95,0,0,0,0,0,0,0,0,0,0,0,0,34.3911,0,0,133.95,34.3911,99.5589
ARL,,105,2015,13281,0,0,0,0,0,223.92,0,195.2307,0,0,0,0,0,0,0,0,0,0,0,0,0,223.92,195.2307,28.6893
ARL,,111,2011,0,3315,0,0,0,0,0,0,0,212.823,123.43734,3346.851621,46.85592269,37.48473815,1132.514776,10.19263298,9.173369682,170.0954478,212.823,0,0,0,170.0954478,212.823,-42.72755216
ARL,,111,2012,9076,0,0,0,0,0,219.52,0,133.4172,0,0,0,0,0,0,0,0,0,0,0,0,0,219.52,133.4172,86.1028
ARL,,111,2013,0,3531,0,0,0,0,0,0,0,226.6902,131.480316,3564.927021,49.90897829,39.92718263,1206.307594,10.85676834,9.771091507,181.1785901,226.6902,0,0,0,181.1785901,226.6902,-45.51160986
ARL,,111,2014,10602,0,0,0,0,0,223.92,0,155.8494,0,0,0,0,0,0,0,0,0,0,0,0,0,223.92,155.8494,68.0706
ARL,,111,2015,0,3715,0,0,0,0,0,0,0,238.503,138.33174,3750.694954,52.50972935,42.00778348,1269.168142,11.42251328,10.28026195,190.6197854,238.503,0,0,0,190.6197854,238.503,-47.88321457
ARL,,113,2011,11429,0,0,0,0,0,212.63,0,168.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,212.63,168.0063,44.6237
ARL,,113,2012,9305,0,0,0,0,0,219.52,0,136.7835,0,0,0,0,0,0,0,0,0,0,0,0,0,219.52,136.7835,82.7365
ARL,,113,2013,11523,0,0,0,0,0,224.22,0,169.3881,0,0,0,0,0,0,0,0,0,0,0,0,0,224.22,169.3881,54.8319
ARL,,113,2014,8759,0,0,0,0,0,223.92,0,128.7573,0,0,0,0,0,0,0,0,0,0,0,0,0,223.92,128.7573,95.1627
ARL,,113,2015,9944,0,0,0,0,0,223.92,0,146.1768,0,0,0,0,0,0,0,0,0,0,0,0,0,223.92,146.1768,77.7432
ARL,,114,2011,10237,0,0,0,0,0,179.34,0,150.4839,0,0,0,0,0,0,0,0,0,0,0,0,0,179.34,150.4839,28.8561
ARL,,114,2012,0,3137,0,0,0,0,0,0,0,201.3954,116.809332,3167.141338,44.33997873,35.47198298,1071.704027,9.645336247,8.680802622,160.9621176,201.3954,0,0,0,160.9621176,201.3954,-40.43328239
ARL,,114,2013,10553,0,0,0,0,0,224.22,0,155.1291,0,0,0,0,0,0,0,0,0,0,0,0,0,224.22,155.1291,69.0909
ARL,,114,2014,0,3682,0,0,0,0,0,0,0,236.3844,137.102952,3717.377879,52.0432903,41.63463224,1257.894239,11.32104815,10.18894334,188.9265276,236.3844,0,0,0,188.9265276,236.3844,-47.45787242
ARL,,114,2015,12639,0,0,0,0,0,223.92,0,185.7933,0,0,0,0,0,0,0,0,0,0,0,0,0,223.92,185.7933,38.1267
ARL,,203,2011,0,3788,0,0,0,0,0,0,0,243.1896,141.049968,3824.396362,53.54154907,42.83323925,1294.107382,11.64696643,10.48226979,194.365477,243.1896,0,0,0,194.365477,243.1896,-48.82412295
ARL,,203,2012,11451,0,0,0,0,0,219.52,0,168.3297,0,0,0,0,0,0,0,0,0,0,0,0,0,219.52,168.3297,51.1903
ARL,,203,2013,0,4398,0,0,0,0,0,0,0,282.3516,163.763928,4440.257445,62.16360422,49.73088338,1502.503766,13.52253389,12.1702805,225.6650919,282.3516,0,0,0,225.6650919,282.3516,-56.68650812
ARL,,203,2014,13942,0,0,0,0,0,223.92,0,204.9474,0,0,0,0,0,0,0,0,0,0,0,0,0,223.92,204.9474,18.9726
ARL,,203,2015,0,3990,0,0,0,0,0,0,0,256.158,148.57164,4028.337245,56.39672143,45.11737715,1363.117332,12.26805599,11.04125039,204.7302675,256.158,0,0,0,204.7302675,256.158,-51.42773247
ARL,,204,2011,13295,0,0,0,0,0,212.63,0,195.4365,0,0,0,0,0,0,0,0,0,0,0,0,0,212.63,195.4365,17.1935
ARL,,204,2012,9326,0,0,0,0,0,219.52,0,137.0922,0,0,0,0,0,0,0,0,0,0,0,0,0,219.52,137.0922,82.4278
ARL,,204,2013,14364,0,0,0,0,0,224.22,0,211.1508,0,0,0,0,0,0,0,0,0,0,0,0,0,224.22,211.1508,13.0692
ARL,,204,2014,9709,0,0,0,0,0,223.92,0,142.7223,0,0,0,0,0,0,0,0,0,0,0,0,0,223.92,142.7223,81.1977
ARL,,204,2015,13300,0,0,0,0,0,223.92,0,195.51,0,0,0,0,0,0,0,0,0,0,0,0,0,223.92,195.51,28.41
