Spreadsheet tab,Spreadsheet tab description,Element or value display name,Description,Data type,Unit,Calculation,Format,Low Value,High Value,Acceptable values,Required,Accepts null value
Overview,About the experiment,Site ID,"Required. Where data was collected. Enter a 2 digit state, 2 digit city/town code with up to 4 additional characters for unique experimental ID with no spaces or special characters. E.g., MNMOBRR1 representing Minnesota, Morris, Field BRR1.",CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
Overview,About the experiment,Site ID descriptor,A meaningful name that describes the site,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
Overview,About the experiment,Research Unit,The research unit location,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
Overview,About the experiment,Dataset Name,A meaningful name that describes the dataset,CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
Overview,About the experiment,Dataset Descriptor,A meaningful description of the dataset,CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
Overview,About the experiment,Funding Source,"The source of experimental funding, including grant numbers when possible",CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
Overview,About the experiment,Start Date,The date the experiment began,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,Y,N
Overview,About the experiment,End Date,The date the experiment ended,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,Y,N
Overview,About the experiment,Duration of Dataset,The number of years the experiment was conducted or is ongoing ,INTEGER,NA,NA,NA,0,100,NA,N,Y
FieldSites,Information about the field sites,Site ID,"Required. Where data was collected. Enter a 2 digit state, 2 digit city/town code with up to 4 additional characters for unique experimental ID with no spaces or special characters. E.g., MNMOBRR1 representing Minnesota, Morris, Field BRR1.",CHARACTER,NA,NA,NA,NA,NA,NA,Y,N
FieldSites,Information about the field sites,Date,The date on which this location was first designated as a field site. ,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
FieldSites,Information about the field sites,MLRA,Major Land Resource Area code,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
FieldSites,Information about the field sites,Field ID,Unique field identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
FieldSites,Information about the field sites,Country,3 character ISO Country Code,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
