# N2O, CH4, CO2 Fluxes via Static Chambers
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/28
# The newest version of the data https://lter.kbs.msu.edu/datatables/28.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/16.eml
#
# doi:10.6073/pasta/2bd6e21728a16243fc175a3e9bd0ab7c
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# Sample_Date		date of sampling
# Treatment		treatment
# Replicate		replicate
# CH4_C	gramsPerHectarePerDay	flux of methane (CH4) as C
# CO2_C	kilogramsPerHectarePerDay	flux of carbon dioxide (CO2) as C
# N2O_N	gramsPerHectarePerDay	flux of nitrous oxide (N2O) as N
# Year		sample year
# air_temperature_c	celsius	the air temperature used for the flux calculation
# moisture	gramsPerGram	gravimetric soil moisture 
# soil_temperature_c	celsius	soil temperature at 2.54 cm depth
# crop		the crop grown that year
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#<p>8-21-2003 Tim Bergsma.  Recently, the units for CO<sub>2</sub> fluxes have been challenged.  The issue is under review.<br> 
#10-1-2003 Sven Bohm. Unit problems resoved. CO<sub>2</sub> units changed from g C/ha/day to kg C/ha/day <br>
#12-16-2004 Sven Bohm. A reminder note that the gas samples in 1995 were only run for CH4 due to the long storage times between sampling and analysis as well as the discovery that the rubber seals used tended to leak quite rapidly</p><p>
#4-11-2006 Sven Bohm. Prior to 2000 two repliate chambers were used in the forested treatments, they were reported as reps 1 through 6. They map on the current sampling scheme as rep 1-2 is R1, rep 3-4 is R2 and rep 5-6 is R3</p>
#<p>2010-2-26 Sven Bohm. We discovered that the computation for the fluxes used a larger volume than the volume of the chambers. The fluxes
# since 2004 have been recalculated.</p>
#<p> 2012-05-16. Sven Bohm. Removed extra T from the front of the treatment names and the R in front of the replicates in post 2008 samples</p>
#<p>2012-10-10. Sven Bohm. Moved the forested treatments to their own dataset to avoid confusion with the naming</p>
#<p>2013-8-1. Sven Bohm. Added temperature correction and crops to the data table and removed the T7 fertilized plots from the data table. </p>
#<p>2013-11-14 Sven Bohm. Discovered that 2000 to 2003 data was computed assuming only 1 N instead of 2 N's so the values were half of what they should have been. Corrected the calculation in the database</p>
#2019-10-17 Sven Bohm. added soil moisture from sampling.
#2021-5-3 Sven Bohm. Temperatures for the temperature corrections failed to account for the time zone and used the 10 am UTC temperature instead of 10 am local time.
#2021-11-15 Sven Bohm. Removed post 2014 data a Phil's direction
#2023-8-16 Sven Bohm. In 1998 we did not sample T6, T5 and T3 was only sampled once with all negative fluxes so it was removed.
#
Sample_Date,Treatment,Replicate,CH4_C,CO2_C,N2O_N,Year,air_temperature_c,moisture,soil_temperature_c,crop
#,,,gramsPerHectarePerDay,kilogramsPerHectarePerDay,gramsPerHectarePerDay,,celsius,gramsPerGram,celsius,
2014-12-11,T1,R1,1.32,1.02,0.00,2014,-5.3,-2,,ZEAMX
2014-12-11,T1,R2,2.85,2.04,1.02,2014,-5.3,0,,ZEAMX
2014-12-11,T1,R3,-2.14,1.02,1.12,2014,-5.3,0,,ZEAMX
2014-12-11,T1,R4,1.22,3.06,1.12,2014,-5.3,0,,ZEAMX
2014-12-11,T2,R1,8.15,5.10,4.69,2014,-5.3,-1.5,,ZEAMX
2014-12-11,T2,R2,-0.71,2.04,0.10,2014,-5.3,-1.5,,ZEAMX
2014-12-11,T2,R3,3.36,2.04,0.41,2014,-5.3,-1.5,,ZEAMX
2014-12-11,T2,R4,0.82,2.04,1.43,2014,-5.3,-1,,ZEAMX
2014-12-11,T3,R1,-7.34,3.06,1.43,2014,-5.3,-0.5,,ZEAMX
2014-12-11,T3,R2,1.22,2.04,0.61,2014,-5.3,-1,,ZEAMX
2014-12-11,T3,R3,-4.59,4.08,2.75,2014,-5.3,-1,,ZEAMX
2014-12-11,T3,R4,-6.32,3.06,0.20,2014,-5.3,-1.5,,ZEAMX
2014-12-11,T4,R1,0.92,3.06,3.87,2014,-5.3,0,,ZEAMX
2014-12-11,T4,R2,2.65,4.08,3.26,2014,-5.3,0.5,,ZEAMX
2014-12-11,T4,R3,-11.31,1.02,0.82,2014,-5.3,-2,,ZEAMX
2014-12-11,T4,R4,0.41,3.06,3.67,2014,-5.3,0,,ZEAMX
2014-12-11,T5,R1,0.10,5.10,16.21,2014,-5.3,-0.5,,
2014-12-11,T5,R2,-2.96,4.08,1.22,2014,-5.3,0,,
2014-12-11,T5,R3,-4.08,3.06,0.31,2014,-5.3,0,,
2014-12-11,T5,R4,-2.65,4.08,-0.20,2014,-5.3,-1,,
2014-12-11,T6,R1,-0.41,5.10,7.85,2014,-5.3,0,,
2014-12-11,T6,R2,-4.69,26.50,7.13,2014,-5.3,-2,,
2014-12-11,T6,R3,-1.53,7.13,11.42,2014,-5.3,0,,
2014-12-11,T6,R4,-1.83,9.17,4.99,2014,-5.3,0,,
2014-12-11,T7,R1,9.17,4.08,1.02,2014,-5.3,-1,,
2014-12-11,T7,R2,-6.83,4.08,4.18,2014,-5.3,-1,,
2014-12-11,T7,R3,-1.02,7.13,0.20,2014,-5.3,0,,
2014-12-11,T7,R4,0.10,5.10,0.10,2014,-5.3,0,,
2014-12-11,T8,R1,,,,2014,-5.3,0,,
2014-12-11,T8,R2,,,,2014,-5.3,0,,
2014-12-11,T8,R3,,,,2014,-5.3,0,,
2014-12-11,T8,R4,,,,2014,-5.3,0,,
2014-11-11,T1,R1,1.45,2.89,0.10,2014,10.2,7,0.16,ZEAMX
