# Non-crop Biomass
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/40
# The newest version of the data https://lter.kbs.msu.edu/datatables/40.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/22.eml
#
# 
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# Year		year of the growing season relevant for the sample
# crop		crop that was grown on the main site this year. Useful to distinguish cron years from wheat years and soybean years.
# Campaign		a major multi-year research activity with a discreet purpose
# Date		date on which sampling occured
# Treatment		main experimental treatment
# Replicate		replicate block, nested within treatment
# Station		replicate station, nested within block
# Species		species (or taxon) name of the plants sampled, Plants that can not be identified to species are identified to the genus level or above.
# Biomass	gramsPerSquareMeter	dry mass of sampled material
# area_sampled_m2	squareMeter	the area of the frame used for sampling
# comments		
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#In 1998, plants were only sorted to functional group rather than species.  See relevant code descriptions.
#
#The category "SDEAD" (standing dead plants of indeterminate speces) is included only in certain years.
#
#The category "SURFL" (surface litter) is included in certain years, and may or may not be desired in summaries.
#
#8-2-2004 SB. Linked in the genus and species name instead of the code.
#
#2010-11-23 Sven Bohm Triticum for 2004 was mistakenly included in the non-crop table. I moved them to the crop table
#
#2011-2-15 Sven Bohm. The sample area for T8 changed from 1 square meter to 0.25 square meter for 2003 through 2008. I corrected the area sampled. 1990 and 1991 T8 values also look suspicious
#
#2011-6-23 SB. Moved temporal samples to their own tables http://lter.kbs.msu.edu/datatables/290. This table includes the august sample from the temporal sample  campaigns during the years that temporal harvests where done.
#
#2013-8-7 SB. In 2008 there were no weeds encountered in T1 and T2. No weed harvest in T5 between 2008 and 2010 because the poplars were replanted. 
#
#2014-4-11 SB. The harvest date for the 1997 T7 harvest was recored here as 1997-7-27, but it was given as 1997-7-28 in the CN table and in the lab notebook. I changed the dates to 1997-7-28
#
#2014-10-6 SB. Sample frame sizes in 2009 were mistakenly given as 0.99 m2 for T1, T2, T3, and T4, when they should have been  1 m2. Corrected.
#
#2016-1-31 SB. Checked that in 2008 wheat was planted in T6 so that MEDSA was recorded in the non-crop biomass. In 1990 there are three entries for  MEDSA  even though it was the crop for the year. It is likely that this biomass should be added to the crop biomass, it is also possible that the code might have been MEDLA. It is not clear from the notes if the plants were sorted in the field or in the lab. We have a note that alfalfa was baled on Jun 3rd so it may have been cut a week earlier which suggests that it might have been sorted in the lab and therefore should have been part of the crop biomass.
#
#2023-08-08 changed non-crop biomass campaign to Peak Biomass from Harvest as non-crops were never harvested.
#
#
#
#
Year,crop,Campaign,Date,Treatment,Replicate,Station,Species,Biomass,area_sampled_m2,comments
#,,,,,,,,gramsPerSquareMeter,squareMeter,
2022,,Peak Biomass,2022-09-22,T6,R4,S1,Aster pilosus Willd.,37.36,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S1,Aster sagittifolius,19.86,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S1,Cirsium sp. (*),0.03,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S1,Erigeron annuus (L.) Pers.,0.9,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S1,Ranunculus abortivus L.,0.04,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S1,Solidago canadensis L.,1.65,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S1,Surface Litter,24.95,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S1,Unknown dicot (*),1.56,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S1,UnSorted,14.47,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S1,Veronica persica Poir.,0.01,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S2,Aster pilosus Willd.,16.93,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S2,Aster sagittifolius,0.7,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S2,Erigeron annuus (L.) Pers.,9.11,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S2,Ranunculus abortivus L.,0.15,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S2,Surface Litter,33,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S2,Taraxacum officinale Weber in,0.2,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S2,Unknown dicot (*),9.58,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S2,UnSorted,27.19,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S2,Veronica persica Poir.,0.1,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S3,Conyza canadensis (L.) Cronq.,17.9,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S3,Erigeron annuus (L.) Pers.,3.35,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S3,Ranunculus abortivus L.,0.14,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S3,Surface Litter,38.71,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S3,Unknown dicot (*),1.74,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S3,UnSorted,14.63,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S3,Veronica sp.,0.04,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S4,Acer spp.,0.09,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S4,Conyza canadensis (L.) Cronq.,0.96,1,
2022,,Peak Biomass,2022-09-22,T6,R4,S4,Erigeron annuus (L.) Pers.,0.02,1,
