# Cover Crop Biomass
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/41
# The newest version of the data https://lter.kbs.msu.edu/datatables/41.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/22.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		year of the growing season relevant for the sample
# campaign		a major multi-year research activity with a discreet purpose
# date		date on which sampling occured
# treatment		main experimental treatment
# replicate		replicate block, nested within treatment
# station		replicate station, nested within block
# species		species collected
# biomass_g	gramsPerSquareMeter	dry mass of sampled material in grams/meter squared
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#<p>Cover crops such as vetch and clover are planted after a row crop, such as wheat or corn, and are left on the field over winter.  Usually they are plowed down the following spring.  Their productivity represents parts of two growing seasons in different calendar years.  Thus, assignment to a calendar year is somewhat ambiguous.  Fescue in T5, while technically a cover crop, is not plowed down.</p><p>In 2002 the cover crops were mistakenly plowed in before a biomass sample could be taken. So there is no cover crop biomass data available for 2002.</p>
#
#* 2016-1-30 Sven Bohm. No evidence of cover harvest in 2001 and 2002. 2002 was plowed down as noted above. 
#* 2016-1-30 Sven Bohm. 2004 sample might have been taken before the plots were flail mowed that fall, but the cover was not plowed in until 2005. And were sampled again at that time.
#
year,campaign,date,treatment,replicate,station,species,biomass_g
#,,,,,,,gramsPerSquareMeter
2021,Cover Harvest,2021-05-13,T4,R5,S1,Secale cereale M.Bieb.,40.230000000000004
2021,Cover Harvest,2021-05-13,T4,R5,S2,Secale cereale M.Bieb.,31.02
2021,Cover Harvest,2021-05-13,T4,R5,S3,Secale cereale M.Bieb.,39.09
2021,Cover Harvest,2021-05-13,T4,R5,S4,Secale cereale M.Bieb.,55.144000000000005
2021,Cover Harvest,2021-05-13,T4,R5,S5,Secale cereale M.Bieb.,32.264
2021,Cover Harvest,2021-05-13,T4,R6,S1,Secale cereale M.Bieb.,33.28
2021,Cover Harvest,2021-05-13,T4,R6,S2,Secale cereale M.Bieb.,47.24999999999999
2021,Cover Harvest,2021-05-13,T4,R6,S3,Secale cereale M.Bieb.,49.974000000000004
2021,Cover Harvest,2021-05-13,T4,R6,S4,Secale cereale M.Bieb.,46.56
2021,Cover Harvest,2021-05-13,T4,R6,S5,Secale cereale M.Bieb.,48.20400000000001
2021,Cover Harvest,2021-05-12,T4,R4,S1,Secale cereale M.Bieb.,43.11
2021,Cover Harvest,2021-05-12,T4,R4,S2,Secale cereale M.Bieb.,53.730000000000004
2021,Cover Harvest,2021-05-12,T4,R4,S3,Secale cereale M.Bieb.,46.934
2021,Cover Harvest,2021-05-12,T4,R4,S4,Secale cereale M.Bieb.,41.56
2021,Cover Harvest,2021-05-12,T4,R4,S5,Secale cereale M.Bieb.,52.20400000000001
2021,Cover Harvest,2021-05-12,T4,R2,S1,Secale cereale M.Bieb.,67.294
2021,Cover Harvest,2021-05-12,T4,R2,S2,Secale cereale M.Bieb.,29.330000000000002
2021,Cover Harvest,2021-05-12,T4,R2,S3,Secale cereale M.Bieb.,52.92400000000001
2021,Cover Harvest,2021-05-12,T4,R2,S4,Secale cereale M.Bieb.,39.403999999999996
2021,Cover Harvest,2021-05-12,T4,R2,S5,Secale cereale M.Bieb.,60.614000000000004
2021,Cover Harvest,2021-05-12,T4,R3,S1,Secale cereale M.Bieb.,33.794000000000004
2021,Cover Harvest,2021-05-12,T4,R3,S2,Secale cereale M.Bieb.,33.870000000000005
2021,Cover Harvest,2021-05-12,T4,R3,S3,Secale cereale M.Bieb.,41.91
2021,Cover Harvest,2021-05-12,T4,R3,S4,Secale cereale M.Bieb.,49.294
2021,Cover Harvest,2021-05-12,T4,R3,S5,Secale cereale M.Bieb.,41.444
2021,Cover Harvest,2021-05-10,T4,R1,S1,Secale cereale M.Bieb.,33.95
2021,Cover Harvest,2021-05-10,T4,R1,S2,Secale cereale M.Bieb.,31.169999999999998
2021,Cover Harvest,2021-05-10,T4,R1,S3,Secale cereale M.Bieb.,36.16
2021,Cover Harvest,2021-05-10,T4,R1,S4,Secale cereale M.Bieb.,40.24
2021,Cover Harvest,2021-05-10,T4,R1,S5,Secale cereale M.Bieb.,23.629999999999995
2021,Cover Harvest,2021-05-07,T3,R4,S5,Secale cereale M.Bieb.,34.72
2021,Cover Harvest,2021-05-07,T3,R5,S1,Secale cereale M.Bieb.,43.184
2021,Cover Harvest,2021-05-07,T3,R5,S2,Secale cereale M.Bieb.,48.1
2021,Cover Harvest,2021-05-07,T3,R5,S3,Secale cereale M.Bieb.,35.584
2021,Cover Harvest,2021-05-07,T3,R5,S4,Secale cereale M.Bieb.,43.574
2021,Cover Harvest,2021-05-07,T3,R5,S5,Secale cereale M.Bieb.,34.004000000000005
2021,Cover Harvest,2021-05-07,T3,R6,S1,Secale cereale M.Bieb.,19.62
2021,Cover Harvest,2021-05-07,T3,R6,S2,Secale cereale M.Bieb.,29.41
2021,Cover Harvest,2021-05-07,T3,R6,S3,Secale cereale M.Bieb.,24.8
2021,Cover Harvest,2021-05-07,T3,R6,S4,Secale cereale M.Bieb.,24.534
2021,Cover Harvest,2021-05-07,T3,R6,S5,Secale cereale M.Bieb.,22.05
2021,Cover Harvest,2021-05-06,T3,R3,S2,Secale cereale M.Bieb.,18.94
2021,Cover Harvest,2021-05-06,T3,R3,S3,Secale cereale M.Bieb.,29.214
2021,Cover Harvest,2021-05-06,T3,R3,S4,Secale cereale M.Bieb.,34.08
2021,Cover Harvest,2021-05-06,T3,R3,S5,Secale cereale M.Bieb.,21.419999999999998
2021,Cover Harvest,2021-05-06,T3,R4,S1,Secale cereale M.Bieb.,50.17999999999999
2021,Cover Harvest,2021-05-06,T3,R4,S2,Secale cereale M.Bieb.,32.81
2021,Cover Harvest,2021-05-06,T3,R4,S3,Secale cereale M.Bieb.,42.41
2021,Cover Harvest,2021-05-06,T3,R4,S4,Secale cereale M.Bieb.,40.81
2021,Cover Harvest,2021-05-05,T3,R1,S1,Secale cereale M.Bieb.,28.900000000000002
2021,Cover Harvest,2021-05-05,T3,R1,S2,Secale cereale M.Bieb.,16.44
2021,Cover Harvest,2021-05-05,T3,R1,S3,Secale cereale M.Bieb.,23.610000000000003
2021,Cover Harvest,2021-05-05,T3,R1,S4,Secale cereale M.Bieb.,42.25
2021,Cover Harvest,2021-05-05,T3,R1,S5,Secale cereale M.Bieb.,28.110000000000003
2021,Cover Harvest,2021-05-05,T3,R2,S1,Secale cereale M.Bieb.,25.43
2021,Cover Harvest,2021-05-05,T3,R2,S2,Secale cereale M.Bieb.,9.040000000000001
