Site,Treatment,Plot,Core,Year,Section,Section_length,Top_depth,Bottom_depth,BD,C_percent,N_percent
KBS_MCSE,T1,T1R1,SS1C1,2010,Surface,21,0,21,1.3,0.005597333,0.000548333
KBS_MCSE,T1,T1R1,SS1C2,2010,Surface,20,0,20,1.47,0.005798667,0.000599333
KBS_MCSE,T1,T1R1,SS2C1,2010,Surface,21.5,0,21.5,1.49,0.005927667,0.000612667
KBS_MCSE,T1,T1R1,SS2C2,2010,Surface,24,0,24,1.54,0.006713333,0.000886667
KBS_MCSE,T1,T1R1,SS3C1,2010,Surface,20.5,0,20.5,1.51,0.00602,0.00049
KBS_MCSE,T1,T1R1,SS3C2,2010,Surface,21,0,21,1.43,0.007706333,0.000821667
KBS_MCSE,T1,T1R1,SS4C1,2010,Surface,22,0,22,1.32,0.00745,0.00072
KBS_MCSE,T1,T1R1,SS4C2,2010,Surface,22.5,0,22.5,1.31,0.006166,0.000781333
KBS_MCSE,T1,T1R1,SS5C1,2010,Surface,22,0,22,1.36,0.007612667,0.000767667
KBS_MCSE,T1,T1R1,SS5C2,2010,Surface,25.5,0,25.5,1.4,0.006973333,0.000507
KBS_MCSE,T1,T1R2,SS1C1,2010,Surface,24,0,24,1.47,0.004916667,0.00035
KBS_MCSE,T1,T1R2,SS1C2,2010,Surface,25.5,0,25.5,1.31,0.005936667,0.000613333
KBS_MCSE,T1,T1R2,SS2C1,2010,Surface,26.5,0,26.5,1.28,0.008146667,0.00085
KBS_MCSE,T1,T1R2,SS2C2,2010,Surface,28.5,0,28.5,1.33,0.008543333,0.000866667
KBS_MCSE,T1,T1R2,SS3C1,2010,Surface,23.5,0,23.5,1.38,0.006076,0.000416333
KBS_MCSE,T1,T1R2,SS3C2,2010,Surface,26,0,26,1.39,0.006243333,0.000756667
KBS_MCSE,T1,T1R2,SS4C1,2010,Surface,21,0,21,1.5,0.006457,0.00059
KBS_MCSE,T1,T1R2,SS4C2,2010,Surface,27.5,0,27.5,1.32,0.007553667,0.000769
KBS_MCSE,T1,T1R2,SS5C1,2010,Surface,16.5,0,16.5,1.3,0.008988,0.000945667
KBS_MCSE,T1,T1R2,SS5C2,2010,Surface,16.5,0,16.5,1.45,0.010864333,0.001134
KBS_MCSE,T1,T1R3,SS1C1,2010,Surface,18,0,18,1.4,0.006897667,0.000645667
KBS_MCSE,T1,T1R3,SS1C2,2010,Surface,20,0,20,1.25,0.007286667,0.000833333
KBS_MCSE,T1,T1R3,SS2C1,2010,Surface,23.5,0,23.5,1.53,0.006756667,0.00064
KBS_MCSE,T1,T1R3,SS2C2,2010,Surface,24,0,24,1.55,0.007063333,0.000736667
KBS_MCSE,T1,T1R3,SS3C1,2010,Surface,47,0,47,1.43,0.008001667,0.000862667
KBS_MCSE,T1,T1R3,SS3C2,2010,Surface,54.5,0,54.5,1.34,0.009274667,0.000977667
KBS_MCSE,T1,T1R3,SS4C1,2010,Surface,70.5,0,70.5,1.37,0.009592667,0.000992333
KBS_MCSE,T1,T1R3,SS4C2,2010,Surface,68,0,68,1.34,0.011105333,0.001008333
KBS_MCSE,T1,T1R3,SS5C1,2010,Surface,85.5,0,85.5,1.34,0.010825333,0.001047
KBS_MCSE,T1,T1R3,SS5C2,2010,Surface,78.5,0,78.5,1.35,0.011623333,0.001103333
KBS_MCSE,T1,T1R4,SS1C1,2010,Surface,23,0,23,1.58,0.009402333,0.001196
KBS_MCSE,T1,T1R4,SS1C2,2010,Surface,23.5,0,23.5,1.44,0.007737333,0.001217
KBS_MCSE,T1,T1R4,SS2C1,2010,Surface,22,0,22,1.46,0.006133,0.000617667
KBS_MCSE,T1,T1R4,SS2C2,2010,Surface,21,0,21,1.44,0.008282333,0.000717
KBS_MCSE,T1,T1R4,SS3C1,2010,Surface,20.5,0,20.5,1.57,0.008547333,0.001271
KBS_MCSE,T1,T1R4,SS3C2,2010,Surface,22,0,22,1.41,0.008096667,0.001036667
KBS_MCSE,T1,T1R4,SS4C1,2010,Surface,23.5,0,23.5,1.48,0.007403333,0.000793333
KBS_MCSE,T1,T1R4,SS4C2,2010,Surface,23.5,0,23.5,1.47,0.007396667,0.00084
KBS_MCSE,T1,T1R4,SS5C1,2010,Surface,22,0,22,1.43,0.007136667,0.000893333
KBS_MCSE,T1,T1R4,SS5C2,2010,Surface,23,0,23,1.37,0.007746333,0.000972667
KBS_MCSE,T1,T1R5,SS1C1,2010,Surface,18,0,18,1.57,0.006453333,0.00055
KBS_MCSE,T1,T1R5,SS1C2,2010,Surface,19.5,0,19.5,1.39,0.00769,0.00097
KBS_MCSE,T1,T1R5,SS2C1,2010,Surface,15.5,0,15.5,1.45,0.006334333,0.000851
KBS_MCSE,T1,T1R5,SS2C2,2010,Surface,17.5,0,17.5,1.54,0.008146667,0.000813333
KBS_MCSE,T1,T1R5,SS3C1,2010,Surface,14,0,14,1.53,0.007848667,0.000825667
KBS_MCSE,T1,T1R5,SS3C2,2010,Surface,21,0,21,1.42,0.007072667,0.00085
KBS_MCSE,T1,T1R5,SS4C1,2010,Surface,24,0,24,1.37,0.007404333,0.00095
KBS_MCSE,T1,T1R5,SS4C2,2010,Surface,24,0,24,1.31,0.007617667,0.000802667
KBS_MCSE,T1,T1R5,SS5C1,2010,Surface,22,0,22,1.39,0.008526667,0.001523333
KBS_MCSE,T1,T1R5,SS5C2,2010,Surface,20.5,0,20.5,1.4,0.008634,0.001149
KBS_MCSE,T1,T1R6,SS1C1,2010,Surface,21,0,21,1.33,0.00526,0.000510333
KBS_MCSE,T1,T1R6,SS1C2,2010,Surface,44,0,44,1.67,0.003706667,0.00033
KBS_MCSE,T1,T1R6,SS2C1,2010,Surface,37,0,37,1.4,0.002625,0.00014
KBS_MCSE,T1,T1R6,SS2C2,2010,Surface,25.5,0,25.5,1.58,0.005516667,0.000746
KBS_MCSE,T1,T1R6,SS3C1,2010,Surface,24.5,0,24.5,1.47,0.005623333,0.00061
KBS_MCSE,T1,T1R6,SS3C2,2010,Surface,19.5,0,19.5,1.43,0.003956667,0.0005
KBS_MCSE,T1,T1R6,SS4C1,2010,Surface,28.5,0,28.5,1.62,0.006488667,0.000955667
KBS_MCSE,T1,T1R6,SS4C2,2010,Surface,30,0,30,1.37,0.004165,0.00079
KBS_MCSE,T1,T1R6,SS5C1,2010,Surface,20,0,20,1.55,0.004642,0.000466667
