# Biomass Compilation of Herbaceous Systems
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/291
# The newest version of the data https://lter.kbs.msu.edu/datatables/291.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/22.eml
#
# 
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# Year		sample year
# Campaign		sampling campaign
# Date		date the sample was collected
# Treatment		treatment of the sampled plot
# Replicate		replicate of the sampled plot
# Station		sampling station within the plot
# Species		species collected
# Fraction		plant fraction collected (WHOLE, SEED, VEG)
# Biomass_g	gramsPerSquareMeter	measured biomass in grams per meter squared
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#2023-08-08 Changed campaigns of non-crop biomass from Harvest to Peak Biomass as non-crops were never harvested.
#
Year,Campaign,Date,Treatment,Replicate,Station,Species,Fraction,Biomass_g
#,,,,,,,,gramsPerSquareMeter
2022,Peak Biomass,2022-09-27,TSF,R3,S3,UnSorted,WHOLE,2.45
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Veronica chamaedrys L.,WHOLE,0.01
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Viola sp. (*),WHOLE,0.14
2022,Peak Biomass,2022-09-27,TSF,R3,S4,Arctium minus (Hill) Bernh.,WHOLE,0.15
2022,Peak Biomass,2022-09-27,TSF,R3,S4,Celastrus orbiculatus Thunb.,WHOLE,25.88
2022,Peak Biomass,2022-09-27,TSF,R3,S4,Geum canadense,WHOLE,13.31
2022,Peak Biomass,2022-09-27,TSF,R3,S4,Rosa sp. (*),WHOLE,32.08
2022,Peak Biomass,2022-09-27,TSF,R3,S4,Rubus occidentalis L. (*),WHOLE,6.87
2022,Peak Biomass,2022-09-27,TSF,R3,S4,unknown Elm,WHOLE,1.62
