"","Site","Experiment","Year","Time.Range","Chamber","Crop","CO2.Flux","CO2.SE","CH4.Flux","CH4.SE","N2O.Flux","N2O.SE","NH3.Flux","NH3.SE"
"1","ARL","101",2012,"2012-03-30~2012-12-31","on_fert_band",NA,-985330.557587704,0.000213947940253777,211762.18892123,4.59117348029689e-05,-3291406.82871108,0.000714080943367394,NA,NA
"2","ARL","101",2013,"2013-01-01~2013-12-31","on_fert_band",NA,-1298359.4470775,0.000281794688023339,279036.752186032,6.04711733669859e-05,-4337051.27500434,0.000940528880172318,NA,NA
"3","ARL","101",2014,"2014-01-01~2014-12-31","on_fert_band",NA,-1298359.0912642,0.000281794688026359,279036.675830981,6.04711733685844e-05,-4337050.08742807,0.000940528880179564,NA,NA
"4","ARL","101",2015,"2015-01-01~2015-11-13","on_fert_band",NA,-1127615.68919027,0.000244787376804791,242341.379795622,5.2529662659047e-05,-3766697.3315251,0.00081701184292637,NA,NA
"5","ARL","101",2012,"2012-03-30~2012-12-31","off_fert_band",NA,-958243.901929479,0.000207883100136719,-73646.147718373,1.58442964477315e-05,-133712.825683503,2.90598991209392e-05,NA,NA
"6","ARL","101",2013,"2013-01-01~2013-12-31","off_fert_band",NA,-1262667.65336581,0.000273806577802984,-97042.7346499452,2.0868808408028e-05,-176191.948018509,3.82753168684381e-05,NA,NA
"7","ARL","101",2014,"2014-01-01~2014-12-31","off_fert_band",NA,-1262667.30763885,0.000273806577808857,-97042.7082995564,2.08688084094533e-05,-176191.899689469,3.82753168672274e-05,NA,NA
"8","ARL","101",2015,"2015-01-01~2015-11-13","off_fert_band",NA,-1096617.62775984,0.000237848322845047,-84280.906101724,1.81281659486629e-05,-153021.418872927,3.32487261468782e-05,NA,NA
"9","ARL","104",2012,"2012-03-30~2012-12-31","on_fert_band",NA,-921543.564636923,0.000199651278130541,-4000.34147428776,8.06494961720536e-07,3604158.74264824,0.00078191420589346,NA,NA
"10","ARL","104",2013,"2013-01-01~2013-12-31","on_fert_band",NA,-1214308.01518265,0.000262964296680875,-5271.20690025632,1.06224904934658e-06,4749161.09848824,0.00102987329277945,NA,NA
"11","ARL","104",2014,"2014-01-01~2014-12-31","on_fert_band",NA,-1214307.68314589,0.000262964296682485,-5271.20555898781,1.0622490493383e-06,4749159.79809958,0.00102987329278111,NA,NA
"12","ARL","104",2015,"2015-01-01~2015-11-13","on_fert_band",NA,-1054617.63622607,0.000228429928287484,-4578.00483554575,9.22746841368895e-07,4124611.70103959,0.000894622902762866,NA,NA
"13","ARL","104",2012,"2012-03-30~2012-12-31","off_fert_band",NA,-426643.549458142,9.25837867816691e-05,36699.698406683,7.98499795364274e-06,-44071.1924253345,9.5692422145034e-06,NA,NA
"14","ARL","104",2013,"2013-01-01~2013-12-31","off_fert_band",NA,-562183.603042419,0.000121943774179038,48358.796690941,1.05171847160464e-05,-58072.1348677128,1.26038213837627e-05,NA,NA
"15","ARL","104",2014,"2014-01-01~2014-12-31","off_fert_band",NA,-562183.449067846,0.000121943774180405,48358.7834112222,1.05171847162587e-05,-58072.1189532634,1.26038213822642e-05,NA,NA
"16","ARL","104",2015,"2015-01-01~2015-11-13","off_fert_band",NA,-488252.350010926,0.000105929238085333,41999.2613931147,9.13599215096292e-06,-50435.2246438965,1.09485966369987e-05,NA,NA
"17","ARL","105",2012,"2012-03-30~2012-12-31","off_fert_band",NA,2293858.09032963,0.00049753971578093,74461.6808676246,1.61713991619014e-05,-12183.9863127559,2.89991077059223e-06,NA,NA
"18","ARL","105",2013,"2013-01-01~2013-12-31","off_fert_band",NA,3022592.06280385,0.000655318526668445,98117.3536642203,2.12996412874877e-05,-16054.706964923,3.81952474007529e-06,NA,NA
"19","ARL","105",2014,"2014-01-01~2014-12-31","off_fert_band",NA,3022591.23535373,0.000655318526645853,98117.3267698323,2.12996412869771e-05,-16054.702142129,3.81952474011784e-06,NA,NA
"20","ARL","105",2015,"2015-01-01~2015-11-13","off_fert_band",NA,2625099.11384296,0.000569257370432869,85214.2044413645,1.85024187438699e-05,-13943.3949335747,3.31791719822107e-06,NA,NA
"21","ARL","105",2012,"2012-03-30~2012-12-31","on_fert_band",NA,-60131778.7316661,0.0130454310504658,-4485.94422771734,9.16538154433107e-07,-491060.599337673,0.000106587929358128,NA,NA
"22","ARL","105",2013,"2013-01-01~2013-12-31","on_fert_band",NA,-79234996.2159619,0.0171823723499744,-5911.08040357331,1.20718892168812e-06,-647065.25478386,0.000140388882758473,NA,NA
"23","ARL","105",2014,"2014-01-01~2014-12-31","on_fert_band",NA,-79234974.5203201,0.0171823723500062,-5911.07887929378,1.20718892177905e-06,-647065.077519227,0.000140388882760841,NA,NA
"24","ARL","105",2015,"2015-01-01~2015-11-13","on_fert_band",NA,-68815015.0620367,0.0149258592642942,-5133.73028304479,1.04865216427399e-06,-561971.444042689,0.000121952001949297,NA,NA
"25","ARL","111",2012,"2012-03-30~2012-12-31","off_fert_band",NA,262227.506643212,5.64043026340454e-05,-17807.4625444954,3.7826447938962e-06,-37477.2155421623,8.28760060638099e-06,NA,NA
"26","ARL","111",2013,"2013-01-01~2013-12-31","off_fert_band",NA,345534.357664573,7.42911235568234e-05,-23464.7014304584,4.98218963153373e-06,-49383.3224377036,1.09157481229514e-05,NA,NA
"27","ARL","111",2014,"2014-01-01~2014-12-31","off_fert_band",NA,345534.263859504,7.4291123555586e-05,-23464.6951396041,4.98218963168618e-06,-49383.3086547313,1.09157481227168e-05,NA,NA
"28","ARL","111",2015,"2015-01-01~2015-11-13","off_fert_band",NA,300094.06537675,6.45346772945705e-05,-20378.9219073403,4.32789254918574e-06,-42889.0541414729,9.48221333585592e-06,NA,NA
"29","ARL","111",2012,"2012-03-30~2012-12-31","on_fert_band",NA,-2331736.49724958,0.000505455225338337,3218.04146516992,7.61959704986151e-07,-556622.672085522,0.000120749008219118,NA,NA
"30","ARL","111",2013,"2013-01-01~2013-12-31","on_fert_band",NA,-3072504.03146409,0.000665744186998876,4240.37843352361,1.00359085999952e-06,-733455.690941744,0.000159040694950653,NA,NA
"31","ARL","111",2014,"2014-01-01~2014-12-31","on_fert_band",NA,-3072503.19084981,0.000665744186994376,4240.37716632095,1.00359085971891e-06,-733455.490126054,0.000159040694948824,NA,NA
"32","ARL","111",2015,"2015-01-01~2015-11-13","on_fert_band",NA,-2668447.29464738,0.000578313857830628,3682.73749707908,8.71792068638836e-07,-637000.906567547,0.000138154323615255,NA,NA
"33","ARL","113",2012,"2012-03-30~2012-12-31","off_fert_band",NA,-1053791.41387361,0.000228631098447334,78860.3178637626,1.70490587758218e-05,-1272596.04493606,0.000276086172634852,NA,NA
"34","ARL","113",2013,"2013-01-01~2013-12-31","off_fert_band",NA,-1388569.5791916,0.000301134140309083,103913.390299652,2.24556225825103e-05,-1676886.08140029,0.000363638073780542,NA,NA
"35","ARL","113",2014,"2014-01-01~2014-12-31","off_fert_band",NA,-1388569.19895898,0.000301134140315489,103913.361945643,2.24556225827427e-05,-1676885.62224592,0.000363638073792217,NA,NA
"36","ARL","113",2015,"2015-01-01~2015-11-13","off_fert_band",NA,-1205962.53003223,0.000261587032710778,90248.0201083675,1.95065882362074e-05,-1456363.30485084,0.00031588249877273,NA,NA
"37","ARL","113",2012,"2012-03-30~2012-12-31","on_fert_band",NA,336043.016256914,7.21830968886245e-05,56301.4137825812,1.21923945783706e-05,378384.377147907,8.20505134019954e-05,NA,NA
"38","ARL","113",2013,"2013-01-01~2013-12-31","on_fert_band",NA,442800.258806694,9.50736578536265e-05,74187.7656714994,1.60588226394229e-05,498593.012335645,0.000108070209886707,NA,NA
"39","ARL","113",2014,"2014-01-01~2014-12-31","on_fert_band",NA,442800.138760173,9.5073657846759e-05,74187.7453945285,1.60588226396819e-05,498592.875878785,0.000108070209972918,NA,NA
"40","ARL","113",2015,"2015-01-01~2015-11-13","on_fert_band",NA,384568.79023139,8.2587899259851e-05,64431.53228744,1.39498622068905e-05,433024.386961739,9.38776503648455e-05,NA,NA
"41","ARL","114",2012,"2012-03-30~2012-12-31","off_fert_band",NA,222775.431048055,4.7553704356751e-05,196442.98943304,4.25070460717894e-05,-136791.471326709,2.9803579062898e-05,NA,NA
"42","ARL","114",2013,"2013-01-01~2013-12-31","off_fert_band",NA,293548.783633911,6.26338410536602e-05,258850.808381661,5.59867964706407e-05,-180248.646063546,3.92548311258264e-05,NA,NA
"43","ARL","114",2014,"2014-01-01~2014-12-31","off_fert_band",NA,293548.704548127,6.2633841053598e-05,258850.737688892,5.59867964704009e-05,-180248.596497704,3.92548311278437e-05,NA,NA
"44","ARL","114",2015,"2015-01-01~2015-11-13","off_fert_band",NA,254944.975123326,5.44083132234153e-05,224810.035373368,4.863420648479e-05,-156544.63126176,3.40996035328138e-05,NA,NA
"45","ARL","114",2012,"2012-03-30~2012-12-31","on_fert_band",NA,-2043211.47689454,0.00044253565055861,45025.5069945113,9.72065488812188e-06,1169857.67083528,0.000253785922857278,NA,NA
"46","ARL","114",2013,"2013-01-01~2013-12-31","on_fert_band",NA,-2692317.72482761,0.00058287168102654,59329.6249630415,1.28032497457967e-05,1541508.8340644,0.000334266012892799,NA,NA
"47","ARL","114",2014,"2014-01-01~2014-12-31","on_fert_band",NA,-2692316.98885385,0.000582871681039304,59329.6087967802,1.28032497459173e-05,1541508.4119972,0.000334266012891378,NA,NA
"48","ARL","114",2015,"2015-01-01~2015-11-13","on_fert_band",NA,-2338258.26713289,0.00050632476721288,51527.3457557298,1.11218346299877e-05,1338789.15508304,0.000290367788780755,NA,NA
"49","ARL","203",2012,"2012-03-30~2012-12-31","off_fert_band",NA,76735.5459885919,1.62642803642145e-05,-8959.89879876576,1.87278748678288e-06,-514161.693429017,0.000111644728593121,NA,NA
"50","ARL","203",2013,"2013-01-01~2013-12-31","off_fert_band",NA,101113.601792462,2.14219767940824e-05,-11806.3621039958,2.46668215139459e-06,-677505.317219328,0.00014704928416707,NA,NA
"51","ARL","203",2014,"2014-01-01~2014-12-31","off_fert_band",NA,101113.574743605,2.14219767933394e-05,-11806.3589893937,2.46668215137572e-06,-677505.131544815,0.000147049284166934,NA,NA
"52","ARL","203",2015,"2015-01-01~2015-11-13","off_fert_band",NA,87816.4251590056,1.86086882682721e-05,-10253.7393896691,2.14273965727755e-06,-588408.415646726,0.000127737711393683,NA,NA
"53","ARL","203",2012,"2012-03-30~2012-12-31","on_fert_band",NA,-687173.275996938,0.000148901588197119,-1151.21900905098,1.96405287032523e-07,-685487.780038703,0.00014852325891572,NA,NA
"54","ARL","203",2013,"2013-01-01~2013-12-31","on_fert_band",NA,-905480.813764513,0.000196120965409971,-1516.94894849028,2.58688943305785e-07,-903259.853939679,0.000195622661108321,NA,NA
"55","ARL","203",2014,"2014-01-01~2014-12-31","on_fert_band",NA,-905480.566128731,0.000196120965402369,-1516.94862185188,2.58688943307334e-07,-903259.606933089,0.000195622661103727,NA,NA
"56","ARL","203",2015,"2015-01-01~2015-11-13","on_fert_band",NA,-786403.468832723,0.000170364945456089,-1317.45922298923,2.24716045153075e-07,-784474.581493877,0.000169932082081315,NA,NA
"57","ARL","204",2012,"2012-03-30~2012-12-31","on_fert_band",NA,-860127.772151335,0.000186831417637707,-31943.5418576459,6.85780211796349e-06,1576313.06046883,0.000341879592451462,NA,NA
"58","ARL","204",2013,"2013-01-01~2013-12-31","on_fert_band",NA,-1133381.08715597,0.000246079027373639,-42091.6606486107,9.03253476567148e-06,2077090.7168294,0.000450295772813213,NA,NA
"59","ARL","204",2014,"2014-01-01~2014-12-31","on_fert_band",NA,-1133380.77643971,0.00024607902736914,-42091.6492435128,9.03253476565742e-06,2077090.14825507,0.000450295772797157,NA,NA
"60","ARL","204",2015,"2015-01-01~2015-11-13","on_fert_band",NA,-984333.189344801,0.000213762154348905,-36556.299815078,7.84631714205051e-06,1803938.105781,0.000391159683605037,NA,NA
"61","ARL","204",2012,"2012-03-30~2012-12-31","off_fert_band",NA,111151.244302417,2.34240406768055e-05,50501.324216314,1.0958372815014e-05,-54273.4661800212,1.20994696480586e-05,NA,NA
"62","ARL","204",2013,"2013-01-01~2013-12-31","off_fert_band",NA,146462.796679953,3.0852226140904e-05,66545.0501778716,1.44334703338745e-05,-71515.5604827387,1.5936429538595e-05,NA,NA
"63","ARL","204",2014,"2014-01-01~2014-12-31","off_fert_band",NA,146462.757723816,3.08522261418232e-05,66545.031953182,1.44334703339803e-05,-71515.5403603097,1.59364295388008e-05,NA,NA
"64","ARL","204",2015,"2015-01-01~2015-11-13","off_fert_band",NA,127201.870305068,2.68004892450614e-05,57793.8896761767,1.2537962890653e-05,-62110.7406433885,1.38435426508336e-05,NA,NA
