SiteID,Exp Unit ID,Sampling Year,Treatment ID,Crop,Above earshank_biomass,Above earshank_carbon_kgC/ha,Above earshank_nitrogen_kgN/ha,Below earshank_biomass,Below earshank_carbon_kgC/ha,Below earshank_nitrogen_kgN/ha,Cobs_biomass,Cobs_carbon_kgC/ha,Cobs_nitrogen_kgN/ha,Grain_biomass,Grain_carbon_kgC/ha,Grain_nitrogen_kgN/ha,Stover (all non-grain biomass)_biomass,Stover (all non-grain biomass)_carbon_kgC/ha,Stover (all non-grain biomass)_nitrogen_kgN/ha,Husk_biomass,Husk_carbon_kgC/ha,Husk_nitrogen_kgN/ha,Leaves_biomass,Leaves_carbon_kgC/ha,Leaves_nitrogen_kgN/ha,Stems_biomass,Stems_carbon_kgC/ha,Stems_nitrogen_kgN/ha,Stems and leaves_biomass,Stems and leaves_carbon_kgC/ha,Stems and leaves_nitrogen_kgN/ha,Tassel_biomass,Tassel_carbon_kgC/ha,Tassel_nitrogen_kgN/ha,Roots_biomass,Roots_carbon_kgC/ha,Roots_nitrogen_kgN/ha,Pod_biomass,Pod_carbon_kgC/ha,Pod_nitrogen_kgN/ha,Whole plant (above and belowground biomass)_biomass,Whole plant (above and belowground biomass)_carbon_kgC/ha,Whole plant (above and belowground biomass)_nitrogen_kgN/ha,Aboveground biomass_biomass,Aboveground biomass_carbon_kgC/ha,Aboveground biomass_nitrogen_kgN/ha
IAAMBRUN,IAAMBRUN_101,2008,IAAMBRUN_4,Zea mays (Corn),3462,1482,19,4174,1778,19,3115,1408,15,8637.05,3636.19805,88.961615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_101,2009,IAAMBRUN_4,Zea mays (Corn),3643.4450800472778,1570.6891740083813,17.85288089223166,4345.740676909853,1887.3551759819495,20.42498118147631,2072.944905984743,940.080514864081,13.681436379499303,11165.62152649658,4742.039462303097,100.49059373846923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_101,2010,IAAMBRUN_4,Zea mays (Corn),2479.94,1050.005408540194,15.127616892052862,2454.28,1060.7378961942557,13.007660457726875,2378.62,1110.5791533217268,13.32028969501322,8691.44,3726.02228689653,98.21332363408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_101,2011,IAAMBRUN_4,Zea mays (Corn),2213.69,941.7047192246696,18.15227714537445,2046.05,897.6036694837005,17.800665430837004,1109,496.9408312387665,8.650163989427314,7588.15,3375.9688248000007,121.41043200000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_101,2012,IAAMBRUN_4,Zea mays (Corn),3092.7740410443757,1315.6660770602775,25.360747136563877,3040.3541420436236,1333.8033621145375,26.451081035779524,1146.6852906414529,513.829678736435,8.944145267003332,6556.069693432567,2916.7954066081493,104.89711509492108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_102,2008,IAAMBRUN_1,Zea mays (Corn),3303,1419,21,4910,2165,20,2663,1202,13,7464.66,3224.7331200000003,94.054716,3330.625,1520.09725,16.653125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_102,2009,IAAMBRUN_1,Zea mays (Corn),1928.6591339851725,839.9310528505426,8.293234276136241,3139.1656516600415,1397.2426315538844,10.673163215644141,1057.1783130976687,485.8791526996885,6.554505541205546,7052.750410886859,2961.449897531392,57.83255336927223,5783.46,2645.4,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_102,2010,IAAMBRUN_1,Zea mays (Corn),1792.62,773.1561277440002,12.010540356792955,2251.52,965.2259954918062,13.28395935013216,2183.6,1013.6286577903084,15.285223189427311,6749.2,2908.9038779689126,67.4919693264249,3665.9,1692.9,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_102,2011,IAAMBRUN_1,Zea mays (Corn),1887.01,798.9606793585905,20.002322156828196,1947.19,853.647906734802,23.560993776211458,1091.8,485.74255692687234,10.262935570044053,6978,3110.7919311481164,114.43918275197197,3133.3,1388.05,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_102,2012,IAAMBRUN_1,Zea mays (Corn),2430.97281615988,1029.2738903620934,25.76831185129473,2981.3817556677773,1307.0377616847536,36.074719243580105,1382.5748361448375,615.1075446008382,12.996203459761471,5139.353763575977,2291.1239078021704,84.285401722646,7189.55,3298.6,61.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
