SiteID,Exp Unit ID,Treatment ID,Crop,Chamber Placement,Start Date,End Date,Number of Observations
INWLACRE,INWLACRE_NP_A73,INWLACRE_NP,Zea mays (Corn),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_MT_SA44,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,27
INWLACRE,INWLACRE_MT_SA21,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,74
INWLACRE,INWLACRE_CD_A82,INWLACRE_CD,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,93
INWLACRE,INWLACRE_NM_A31,INWLACRE_NM,Zea mays (Corn),Across rows,2005-04-20,2008-04-02,65
INWLACRE,INWLACRE_MT_SA13,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A14,INWLACRE_NC,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_Bare_AB3,INWLACRE_Bare,NA,Across rows,2005-05-16,2011-09-01,139
INWLACRE,INWLACRE_MR_SA41,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,27
INWLACRE,INWLACRE_CD_A71,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_NP_A35,INWLACRE_NP,Glycine max (Soybean),Across rows,2005-03-17,2010-09-15,68
INWLACRE,INWLACRE_NC_A41,INWLACRE_NC,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,111
INWLACRE,INWLACRE_IT_A83,INWLACRE_IT,Zea mays (Corn),Across rows,2008-04-16,2010-09-15,61
INWLACRE,INWLACRE_NC_A84,INWLACRE_NC,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_NP_A81,INWLACRE_NP,Zea mays (Corn),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NR_A51,INWLACRE_NR,Zea mays (Corn),Across rows,2008-04-16,2010-09-15,61
INWLACRE,INWLACRE_MR_SA12,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A34,INWLACRE_NC,Glycine max (Soybean),Across rows,2005-03-30,2010-09-15,66
INWLACRE,INWLACRE_CD_A52,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_CD_A32,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,133
INWLACRE,INWLACRE_NM_A83,INWLACRE_NM,Zea mays (Corn),Across rows,2005-04-06,2007-04-10,35
