"","year","campaign","date","treatment","replicate","station","species","total_biomass_estimated","c_input_crop","c_input_cover","c_input_weedy","compilation_biomass"
"1","2021","Harvest","2021-10-13","T4","R6","S4","Glycine max L. (*)",3452.2,867.961652884616,1073.79,475.9575,5216.8
"2","2021","Harvest","2021-10-13","T4","R6","S3","Glycine max L. (*)",3086.14,707.453610576923,1152.525375,452.5825,4725.54
"3","2021","Harvest","2021-10-13","T4","R6","S2","Glycine max L. (*)",3783.6,1033.30539519231,1089.703125,462.74,5608.3
"4","2021","Harvest","2021-10-13","T4","R6","S5","Glycine max L. (*)",2938.04,402.665019230769,1111.70475,675.75,3992.34
"5","2021","Harvest","2021-10-13","T4","R6","S1","Glycine max L. (*)",3978.6,1189.16372596154,767.52,462.5275,6628.2
"6","2021","Harvest","2021-10-12","T4","R4","S4","Glycine max L. (*)",2798.9,748.650054807692,958.4775,328.61,4626.6
"7","2021","Harvest","2021-10-12","T4","R3","S1","Glycine max L. (*)",3032.24,1017.17089615385,779.374125,215.3475,5486.14
"8","2021","Harvest","2021-10-12","T4","R2","S3","Glycine max L. (*)",4581.24,744.930285576923,1220.55975,1041.2075,5933.44
"9","2021","Harvest","2021-10-12","T4","R2","S5","Glycine max L. (*)",5525.94,723.774098076923,1397.910375,1429.36,6853.44
"10","2021","Harvest","2021-10-12","T4","R5","S1","Glycine max L. (*)",2768.4,450.464053846154,927.804375,593.8525,3789.4
"11","2021","Harvest","2021-10-12","T4","R5","S4","Glycine max L. (*)",3956.74,634.453139423077,1271.7585,867.34,4676.14
"12","2021","Harvest","2021-10-12","T3","R5","S3","Glycine max L. (*)",6040.34,2218.84234615385,820.656,387.8125,9770.84
"13","2021","Harvest","2021-10-12","T4","R3","S5","Glycine max L. (*)",4744.74,719.217380769231,955.80225,1182.9875,6497.64
"14","2021","Harvest","2021-10-12","T4","R4","S3","Glycine max L. (*)",3877.44,1142.85259903846,1082.415375,403.835,6328.54
"15","2021","Harvest","2021-10-12","T4","R3","S3","Glycine max L. (*)",4500.9,1001.54786538462,966.549375,819.315,6780.2
